epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.362,3.3368,4.80006,2.82101,0.02778,0.04303,0.0167,0.00761,2.90812,4.59263,2.4389,0.00010908,0.00010908,0.00010908
2,30.1331,2.99883,4.43249,2.13692,0.02751,0.04713,0.05425,0.02613,2.70273,4.24069,2.03808,0.000182255,0.000182255,0.000182255
3,44.3309,2.81424,3.96802,1.86835,0.02205,0.17612,0.02179,0.00768,2.64468,3.62407,1.82417,0.000208634,0.000208634,0.000208634
4,57.852,2.70895,3.56023,1.74222,0.35086,0.0851,0.02751,0.01148,2.56162,3.26263,1.77089,0.000188218,0.000188218,0.000188218
5,71.3733,2.68951,3.3169,1.74043,0.5237,0.09469,0.03938,0.02062,2.48792,3.1087,1.74166,0.000121006,0.000121006,0.000121006
