epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1166.27,1.63195,1.46356,1.59312,0.55998,0.53328,0.55489,0.3703,1.83591,1.66918,1.7074,0.000540037,0.000540037,0.000540037
43,1194.06,1.67446,1.48484,1.55235,0.50937,0.55422,0.57711,0.37925,1.78743,1.61434,1.661,0.000531038,0.000531038,0.000531038
44,1221.59,1.59329,1.43983,1.561,0.55214,0.55632,0.58836,0.36737,1.76566,1.57717,1.65366,0.000522039,0.000522039,0.000522039
45,1249.02,1.60129,1.43995,1.50705,0.59719,0.55784,0.58724,0.36839,1.77624,1.60027,1.63884,0.00051304,0.00051304,0.00051304
46,1277.14,1.64114,1.44572,1.56013,0.51549,0.63539,0.59428,0.37523,1.78098,1.57781,1.62073,0.00050404,0.00050404,0.00050404
47,1304.59,1.56849,1.37998,1.52211,0.50367,0.62031,0.59414,0.39289,1.73452,1.55738,1.6103,0.000495041,0.000495041,0.000495041
48,1331.89,1.64021,1.45347,1.5308,0.47661,0.60633,0.59667,0.39589,1.72131,1.55487,1.61931,0.000486042,0.000486042,0.000486042
49,1359.43,1.61721,1.4229,1.56332,0.50416,0.60344,0.61326,0.42245,1.74061,1.55158,1.61792,0.000477043,0.000477043,0.000477043
50,1387.51,1.58574,1.36672,1.51717,0.49892,0.61312,0.60945,0.38797,1.75532,1.53946,1.62027,0.000468044,0.000468044,0.000468044
51,1415.55,1.60804,1.37374,1.47296,0.53219,0.62587,0.59578,0.38383,1.73331,1.53222,1.6186,0.000459045,0.000459045,0.000459045
52,1443.54,1.53174,1.34788,1.51215,0.57274,0.57253,0.61244,0.41241,1.75941,1.55399,1.65443,0.000450046,0.000450046,0.000450046
53,1470.7,1.56686,1.36761,1.47746,0.55249,0.56506,0.60958,0.42441,1.76029,1.55441,1.64347,0.000441047,0.000441047,0.000441047
54,1498.16,1.55777,1.33284,1.46347,0.63777,0.56026,0.63138,0.43562,1.74034,1.51663,1.62647,0.000432048,0.000432048,0.000432048
55,1525.7,1.56106,1.29265,1.45498,0.51461,0.62579,0.63137,0.43689,1.74756,1.47383,1.65006,0.000423049,0.000423049,0.000423049
56,1553.2,1.60226,1.34389,1.43061,0.57403,0.61194,0.63152,0.43676,1.74797,1.47471,1.64893,0.000414049,0.000414049,0.000414049
57,1581.29,1.60329,1.31653,1.48362,0.62454,0.59417,0.63816,0.4656,1.71999,1.45946,1.60756,0.00040505,0.00040505,0.00040505
58,1609.35,1.53055,1.27328,1.51248,0.61503,0.60395,0.63543,0.46459,1.71531,1.46133,1.60554,0.000396051,0.000396051,0.000396051
59,1637.2,1.49034,1.29356,1.44683,0.6908,0.5591,0.63378,0.44258,1.69848,1.50564,1.60396,0.000387052,0.000387052,0.000387052
60,1664.88,1.51747,1.33457,1.45668,0.6805,0.5915,0.64292,0.4242,1.70261,1.5153,1.59811,0.000378053,0.000378053,0.000378053
61,1693.25,1.53794,1.29523,1.49914,0.69545,0.58494,0.64205,0.42439,1.72346,1.51843,1.59598,0.000369054,0.000369054,0.000369054
62,1721.31,1.48201,1.22467,1.4935,0.61956,0.61592,0.64549,0.41322,1.71568,1.50277,1.59732,0.000360055,0.000360055,0.000360055
63,1748.91,1.50768,1.25622,1.45888,0.70251,0.57128,0.65619,0.42129,1.72694,1.48598,1.61757,0.000351056,0.000351056,0.000351056
64,1775.94,1.48539,1.22766,1.44333,0.62545,0.60022,0.6538,0.45114,1.712,1.4752,1.60613,0.000342057,0.000342057,0.000342057
65,1803.74,1.47851,1.25149,1.43395,0.66869,0.57234,0.65352,0.46377,1.67803,1.44932,1.57883,0.000333058,0.000333058,0.000333058
66,1830.69,1.50962,1.22679,1.42761,0.67892,0.57566,0.65349,0.47327,1.66868,1.43344,1.57327,0.000324058,0.000324058,0.000324058
67,1858.51,1.49379,1.26015,1.43631,0.67219,0.59085,0.66008,0.4502,1.68158,1.44338,1.58327,0.000315059,0.000315059,0.000315059
68,1885.76,1.43395,1.17658,1.44745,0.63801,0.60344,0.64831,0.44329,1.72414,1.50817,1.59852,0.00030606,0.00030606,0.00030606
69,1913.25,1.45517,1.18162,1.41194,0.62897,0.6021,0.64623,0.43969,1.71425,1.51044,1.59117,0.000297061,0.000297061,0.000297061
70,1941.16,1.38339,1.18626,1.42875,0.63129,0.58817,0.65487,0.44217,1.70001,1.48585,1.59076,0.000288062,0.000288062,0.000288062
71,1968.61,1.39221,1.14277,1.43814,0.65258,0.59146,0.6464,0.44702,1.679,1.45099,1.5904,0.000279063,0.000279063,0.000279063
72,1995.86,1.38383,1.12079,1.42496,0.65407,0.59049,0.65128,0.45119,1.65993,1.4198,1.5877,0.000270064,0.000270064,0.000270064
73,2023.29,1.42734,1.18594,1.39581,0.63733,0.63068,0.66599,0.47642,1.65027,1.41403,1.59003,0.000261065,0.000261065,0.000261065
74,2051.2,1.38418,1.12174,1.46713,0.64868,0.62628,0.66645,0.46045,1.64433,1.40716,1.58748,0.000252066,0.000252066,0.000252066
75,2078.89,1.39591,1.12351,1.39415,0.68651,0.59507,0.65978,0.4516,1.64767,1.41778,1.59255,0.000243067,0.000243067,0.000243067
76,2107.08,1.37833,1.12431,1.4171,0.62457,0.62911,0.66305,0.45017,1.65468,1.42355,1.59296,0.000234068,0.000234068,0.000234068
77,2134.63,1.36609,1.10729,1.3982,0.66751,0.59971,0.663,0.45192,1.65186,1.41884,1.58525,0.000225068,0.000225068,0.000225068
78,2162.3,1.38013,1.11483,1.41615,0.69647,0.58157,0.67078,0.4635,1.63502,1.40284,1.56605,0.000216069,0.000216069,0.000216069
79,2188.95,1.37861,1.11185,1.39631,0.68763,0.58886,0.67028,0.46646,1.63925,1.40794,1.5659,0.00020707,0.00020707,0.00020707
80,2216.61,1.35966,1.07687,1.37622,0.68267,0.59966,0.6653,0.4778,1.64676,1.41271,1.56971,0.000198071,0.000198071,0.000198071
81,2244.18,1.31678,1.08442,1.4446,0.67734,0.60095,0.66597,0.47922,1.65277,1.42378,1.57653,0.000189072,0.000189072,0.000189072
82,2272.05,1.37144,1.09253,1.42996,0.67619,0.6091,0.66731,0.47151,1.64139,1.40909,1.56903,0.000180073,0.000180073,0.000180073
83,2299.21,1.40186,1.10728,1.38786,0.68891,0.60814,0.66952,0.47909,1.62373,1.38476,1.55751,0.000171074,0.000171074,0.000171074
84,2327.03,1.3934,1.08951,1.35019,0.71854,0.60213,0.67293,0.48755,1.62134,1.38285,1.54906,0.000162075,0.000162075,0.000162075
85,2354.89,1.30129,1.06825,1.34508,0.73104,0.60628,0.6774,0.48741,1.62945,1.39109,1.55398,0.000153076,0.000153076,0.000153076
86,2382.79,1.37811,1.12181,1.35652,0.72645,0.60824,0.68014,0.47085,1.64253,1.41682,1.55963,0.000144077,0.000144077,0.000144077
87,2410.44,1.28618,1.05018,1.36938,0.6971,0.60166,0.67163,0.46812,1.62876,1.40936,1.55331,0.000135077,0.000135077,0.000135077
88,2438.06,1.31173,1.03556,1.39013,0.67271,0.61228,0.66596,0.46455,1.62395,1.41302,1.55425,0.000126078,0.000126078,0.000126078
89,2465.75,1.33969,1.06608,1.38628,0.62639,0.61373,0.66583,0.46643,1.62399,1.41203,1.56198,0.000117079,0.000117079,0.000117079
90,2492.99,1.27969,1.02742,1.39925,0.62337,0.60499,0.66645,0.46566,1.62825,1.40881,1.56782,0.00010808,0.00010808,0.00010808
91,2520.01,1.31828,1.09307,1.42723,0.64062,0.58036,0.65449,0.45381,1.64146,1.42795,1.58223,9.9081e-05,9.9081e-05,9.9081e-05
92,2547.36,1.3405,1.11734,1.47924,0.6239,0.59941,0.66387,0.46409,1.65577,1.44465,1.59143,9.00819e-05,9.00819e-05,9.00819e-05
93,2574.03,1.33651,1.07294,1.44288,0.62703,0.60472,0.66153,0.47949,1.66357,1.45374,1.59589,8.10828e-05,8.10828e-05,8.10828e-05
94,2600.92,1.3194,1.03334,1.37967,0.63995,0.60609,0.66445,0.48154,1.66792,1.45968,1.5952,7.20837e-05,7.20837e-05,7.20837e-05
95,2628.19,1.27768,1.0194,1.40035,0.63784,0.59702,0.66148,0.48443,1.66772,1.46399,1.5937,6.30846e-05,6.30846e-05,6.30846e-05
96,2655.22,1.26543,1.02194,1.45473,0.64406,0.59509,0.66595,0.48591,1.66528,1.46086,1.59025,5.40855e-05,5.40855e-05,5.40855e-05
97,2681.83,1.2736,1.02361,1.45388,0.65363,0.59248,0.66708,0.48537,1.66448,1.46314,1.58983,4.50864e-05,4.50864e-05,4.50864e-05
98,2709.54,1.26192,1.00054,1.37468,0.66243,0.58911,0.66156,0.47832,1.66081,1.45805,1.58584,3.60873e-05,3.60873e-05,3.60873e-05
99,2736.47,1.30394,1.03338,1.39945,0.67404,0.58817,0.65929,0.46028,1.65785,1.45331,1.58359,2.70882e-05,2.70882e-05,2.70882e-05
100,2763.61,1.30241,1.02855,1.38387,0.66517,0.58788,0.65737,0.45914,1.65642,1.45038,1.5829,1.80891e-05,1.80891e-05,1.80891e-05
