file_path,folder,weight_range,min_weight,max_weight,quality,is_ok,ocr_text,ocr_weight,filename_weight,best_weight,weight_source,potato_count,main_potato,area,perimeter,major_axis,minor_axis,circularity,width,height,estimated_volume,estimated_weight,aspect_ratio,scheme_c_class,expected_class
/tmp/potato_inspection_system/data/test/1021/150-200 NG/Pic_2025_10_21_154806_183.jpeg,150-200 NG,150-200,150,200,NG,False,,,175.0,175.0,filename,3,"{'area': 179427.0, 'perimeter': 2758.1118199825287, 'major_axis': 571.2410278320312, 'minor_axis': 430.8694152832031, 'circularity': 0.29639708008595694, 'width': 599, 'height': 443, 'estimated_volume': 55.52765702300847, 'estimated_weight': 61.080422725309326, 'aspect_ratio': 1.3257869033395286, 'center': (3049.40380859375, 1827.2244873046875), 'contour': array([[[3083, 1609]],

       [[3083, 1610]],

       [[3082, 1611]],

       ...,

       [[3091, 1613]],

       [[3090, 1612]],

       [[3090, 1609]]], dtype=int32)}",179427.0,2758.1118199825287,571.2410278320312,430.8694152832031,0.29639708008595694,599.0,443.0,55.52765702300847,61.080422725309326,1.3257869033395286,Level 7,NG
/tmp/potato_inspection_system/data/test/1021/150-200 NG/Pic_2025_10_21_154803_180.jpeg,150-200 NG,150-200,150,200,NG,False,,,175.0,175.0,filename,3,"{'area': 407338.0, 'perimeter': 9696.591171503067, 'major_axis': 1036.238525390625, 'minor_axis': 725.6102905273438, 'circularity': 0.054441065976069285, 'width': 1104, 'height': 783, 'estimated_volume': 285.6703870702918, 'estimated_weight': 314.237425777321, 'aspect_ratio': 1.4280923781242538, 'center': (999.4481201171875, 462.23260498046875), 'contour': array([[[1458,   80]],

       [[1458,   87]],

       [[1457,   88]],

       ...,

       [[1464,  120]],

       [[1463,  119]],

       [[1463,   80]]], dtype=int32)}",407338.0,9696.591171503067,1036.238525390625,725.6102905273438,0.054441065976069285,1104.0,783.0,285.6703870702918,314.237425777321,1.4280923781242538,Level 7,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154304_38.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 375263.0, 'perimeter': 16136.315252423286, 'major_axis': 1573.8294677734375, 'minor_axis': 678.2606811523438, 'circularity': 0.01811076811963007, 'width': 1383, 'height': 1030, 'estimated_volume': 379.0963284585906, 'estimated_weight': 417.0059613044497, 'aspect_ratio': 2.320390244499431, 'center': (735.795654296875, 1129.677978515625), 'contour': array([[[321, 520]],

       [[321, 525]],

       [[320, 526]],

       ...,

       [[328, 533]],

       [[327, 532]],

       [[327, 520]]], dtype=int32)}",375263.0,16136.315252423286,1573.8294677734375,678.2606811523438,0.01811076811963007,1383.0,1030.0,379.0963284585906,417.0059613044497,2.320390244499431,NG,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154306_40.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 378640.0, 'perimeter': 15686.055366158485, 'major_axis': 1361.5595703125, 'minor_axis': 571.043701171875, 'circularity': 0.019337880329645923, 'width': 1206, 'height': 661, 'estimated_volume': 232.4737709661358, 'estimated_weight': 255.7211480627494, 'aspect_ratio': 2.3843351524907064, 'center': (1005.2581176757812, 1528.5848388671875), 'contour': array([[[ 836, 1203]],

       [[ 836, 1205]],

       [[ 835, 1206]],

       ...,

       [[ 838, 1207]],

       [[ 840, 1207]],

       [[ 840, 1203]]], dtype=int32)}",378640.0,15686.055366158485,1361.5595703125,571.043701171875,0.019337880329645923,1206.0,661.0,232.4737709661358,255.7211480627494,2.3843351524907064,NG,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154303_37.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 433616.5, 'perimeter': 7929.897740721703, 'major_axis': 1349.6956787109375, 'minor_axis': 587.5472412109375, 'circularity': 0.08665237884149235, 'width': 1296, 'height': 655, 'estimated_volume': 243.9608077010106, 'estimated_weight': 268.3568884711117, 'aspect_ratio': 2.2971696300185305, 'center': (1095.893310546875, 1185.8834228515625), 'contour': array([[[1096,  887]],

       [[1095,  888]],

       [[1088,  888]],

       ...,

       [[1112,  892]],

       [[1111,  891]],

       [[1111,  887]]], dtype=int32)}",433616.5,7929.897740721703,1349.6956787109375,587.5472412109375,0.08665237884149235,1296.0,655.0,243.9608077010106,268.3568884711117,2.2971696300185305,NG,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154305_39.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 262351.5, 'perimeter': 7249.069313168526, 'major_axis': 1124.0096435546875, 'minor_axis': 469.1827392578125, 'circularity': 0.06273774590636466, 'width': 1232, 'height': 592, 'estimated_volume': 129.55456266874862, 'estimated_weight': 142.5100189356235, 'aspect_ratio': 2.395675606764068, 'center': (1035.7347412109375, 2032.3216552734375), 'contour': array([[[ 904, 1752]],

       [[ 904, 1759]],

       [[ 902, 1761]],

       ...,

       [[ 933, 1753]],

       [[ 932, 1753]],

       [[ 931, 1752]]], dtype=int32)}",262351.5,7249.069313168526,1124.0096435546875,469.1827392578125,0.06273774590636466,1232.0,592.0,129.55456266874862,142.5100189356235,2.395675606764068,NG,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154308_42.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 274753.5, 'perimeter': 10186.446071267128, 'major_axis': 1040.05126953125, 'minor_axis': 528.8107299804688, 'circularity': 0.03327420721818918, 'width': 1144, 'height': 704, 'estimated_volume': 152.2838641128327, 'estimated_weight': 167.51225052411598, 'aspect_ratio': 1.9667741416095388, 'center': (834.1975708007812, 1613.9718017578125), 'contour': array([[[1219, 1267]],

       [[1218, 1268]],

       [[1218, 1274]],

       ...,

       [[1224, 1269]],

       [[1223, 1268]],

       [[1223, 1267]]], dtype=int32)}",274753.5,10186.446071267128,1040.05126953125,528.8107299804688,0.03327420721818918,1144.0,704.0,152.2838641128327,167.51225052411598,1.9667741416095388,NG,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154310_44.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 201599.5, 'perimeter': 4704.285480618477, 'major_axis': 1091.9686279296875, 'minor_axis': 400.26251220703125, 'circularity': 0.11447534905059371, 'width': 1029, 'height': 430, 'estimated_volume': 91.60066305837826, 'estimated_weight': 100.76072936421609, 'aspect_ratio': 2.7281311505007473, 'center': (2692.5634765625, 1457.355224609375), 'contour': array([[[2881, 1268]],

       [[2879, 1270]],

       [[2856, 1270]],

       ...,

       [[2888, 1270]],

       [[2887, 1269]],

       [[2887, 1268]]], dtype=int32)}",201599.5,4704.285480618477,1091.9686279296875,400.26251220703125,0.11447534905059371,1029.0,430.0,91.60066305837826,100.76072936421609,2.7281311505007473,NG,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154309_43.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 261098.0, 'perimeter': 6478.670257329941, 'major_axis': 970.8688354492188, 'minor_axis': 495.83038330078125, 'circularity': 0.07817027799678633, 'width': 1040, 'height': 565, 'estimated_volume': 124.97566446568554, 'estimated_weight': 137.4732309122541, 'aspect_ratio': 1.9580664439844726, 'center': (2813.88134765625, 270.2331848144531), 'contour': array([[[2952,    0]],

       [[2952,    2]],

       [[2951,    3]],

       ...,

       [[3123,    3]],

       [[3122,    2]],

       [[3122,    0]]], dtype=int32)}",261098.0,6478.670257329941,970.8688354492188,495.83038330078125,0.07817027799678633,1040.0,565.0,124.97566446568554,137.4732309122541,1.9580664439844726,NG,NG
/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154312_46.jpeg,100-150 ng,100-150,100,150,ng,False,,,125.0,125.0,filename,3,"{'area': 332410.5, 'perimeter': 8916.584032416344, 'major_axis': 1650.072021484375, 'minor_axis': 475.5871276855469, 'circularity': 0.05253969942819577, 'width': 1478, 'height': 527, 'estimated_volume': 195.41671375211018, 'estimated_weight': 214.9583851273212, 'aspect_ratio': 3.469547272051873, 'center': (2737.733642578125, 757.7947387695312), 'contour': array([[[2864,  463]],

       [[2863,  464]],

       [[2863,  466]],

       ...,

       [[2871,  467]],

       [[2870,  466]],

       [[2870,  463]]], dtype=int32)}",332410.5,8916.584032416344,1650.072021484375,475.5871276855469,0.05253969942819577,1478.0,527.0,195.41671375211018,214.9583851273212,3.469547272051873,NG,NG
