area,perimeter,major_axis,minor_axis,circularity,width,height,estimated_volume,estimated_weight,aspect_ratio,file_path,folder,weight_range,min_weight,max_weight,quality,is_ok,scheme_a_class,expected_class,scheme_b_class,scheme_c_class
178624.5,3291.0062618255615,623.5004272460938,429.4176025390625,0.20724949113902372,668,427,60.199802097891,66.2197823076801,1.4519675568944015,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154310_44.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
242027.0,5858.635765790939,744.9605712890625,518.4638671875,0.08860958132447819,824,562,104.85011218214449,115.33512340035894,1.4368611169187824,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154309_43.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
327438.0,9132.047016263008,1745.4554443359375,463.6674499511719,0.04934039993688209,1478,527,196.48102151418354,216.12912366560192,3.764455418468018,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154312_46.jpeg,100-150 ng,100-150,100,150,ng,False,Level 7,Level 7,Level 7,Level 7
275102.0,8977.13950252533,956.2818603515625,540.6106567382812,0.04289707336434576,1134,637,146.33686436142006,160.97055079756208,1.7688919898863826,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154307_41.jpeg,100-150 ng,100-150,100,150,ng,False,Level 7,Level 7,NG,Level 7
191987.5,2207.9280554056168,602.7657470703125,418.73138427734375,0.4948949036402057,614,481,55.337331557484916,60.87106471323341,1.4395045838529144,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154314_48.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
184526.0,3466.552504181862,577.2560424804688,478.5634460449219,0.19296203332475487,580,506,69.22232083100103,76.14455291410114,1.2062267756787315,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154311_45.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
271477.5,9958.352707862854,1184.852783203125,550.2699584960938,0.034400812238974836,1144,660,187.8514805977461,206.63662865752073,2.153220914406026,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154313_47.jpeg,100-150 ng,100-150,100,150,ng,False,Level 7,Level 7,Level 7,Level 7
199080.5,6553.5789794921875,639.3245849609375,499.3226623535156,0.05824806619373595,715,545,83.4608075665371,91.80688832319082,1.280383674050632,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154316_50.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
132974.5,1534.8498468399048,474.52410888671875,371.3115539550781,0.7093269156544356,466,365,34.25577765010098,37.681355415111085,1.277967528433353,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154317_51.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
181585.5,2317.408283352852,572.33056640625,428.2804870605469,0.4248992067256007,636,420,54.96701320973764,60.46371453071141,1.336345184284192,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154318_52.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
302994.5,13342.984298110008,1108.794677734375,578.9214477539062,0.021386447960600352,1347,648,194.575893745987,214.03348312058571,1.9152765578754523,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154320_54.jpeg,100-150 ng,100-150,100,150,ng,False,Level 7,Level 7,Level 7,Level 7
286939.0,12110.183221578598,1366.2138671875,586.8715209960938,0.024586574013277414,1288,710,246.3788261049651,271.0167087154616,2.3279607517308607,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154321_55.jpeg,100-150 ng,100-150,100,150,ng,False,Level 6,Level 6,Level 6,Level 6
282495.0,10190.71309864521,1233.1341552734375,479.84405517578125,0.03418310267802412,1352,539,148.66515453113607,163.53166998424967,2.5698644006784734,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154319_53.jpeg,100-150 ng,100-150,100,150,ng,False,Level 7,Level 7,NG,Level 7
167920.5,3376.7463771104813,589.7579956054688,425.8786926269531,0.18506176402499178,648,461,56.007254541212504,61.60797999533376,1.3848027755689227,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154322_56.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
123899.0,1888.8670922517776,459.9966125488281,359.6259765625,0.436390074663251,440,376,31.149807294108893,34.264788023519785,1.2790972914296266,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154323_57.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
93797.0,7238.268237113953,1081.4854736328125,174.7261505126953,0.02249725161922348,1040,195,17.28761692230235,19.016378614532588,6.189602818235462,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154324_58.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
158489.0,5361.640819311142,806.0015258789062,389.8334045410156,0.06928090553073492,888,488,64.13462914659414,70.54809206125356,2.067553771662747,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154326_60.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
155123.5,3208.4032303094864,525.8826904296875,430.6682434082031,0.18936929798273605,566,451,51.07086296414398,56.17794926055838,1.2210853678645552,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154328_62.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
220811.5,8686.230781316757,1448.89111328125,421.28802490234375,0.03677636697626649,1235,495,134.64573457495285,148.11030803244816,3.439193681370622,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154327_61.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
99344.0,8614.861163496971,1198.076904296875,469.6430358886719,0.016821121236507634,1357,544,138.36272034584113,152.19899238042524,2.5510373043855314,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154325_59.jpeg,100-150 ng,100-150,100,150,ng,False,Level 7,Level 7,NG,Level 7
254495.0,3708.2783406972885,1090.6173095703125,368.5615539550781,0.23256506068906646,1125,412,77.56951378785921,85.32646516664514,2.9591184915159157,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154330_64.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
303719.0,6268.993193268776,903.6990966796875,515.3474731445312,0.09711498081867642,1009,573,125.6674412507235,138.23418537579585,1.753572383241785,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154329_63.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
269489.0,10735.71815097332,1287.70166015625,539.2452392578125,0.029382497260724012,1335,647,196.05887989330722,215.66476788263796,2.38797038232284,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154331_65.jpeg,100-150 ng,100-150,100,150,ng,False,Level 7,Level 7,Level 7,Level 7
398965.5,13693.2441842556,1754.828369140625,606.6237182617188,0.026738220521290136,1376,725,338.12092036315215,371.9330123994674,2.8927790264599094,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154334_68.jpeg,100-150 ng,100-150,100,150,ng,False,Level 4,Level 4,Level 4,Level 4
551964.5,19599.463649392128,1653.509033203125,679.7379760742188,0.018056461119991426,1460,1042,400.02603934930835,440.0286432842392,2.4325682710165113,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154335_69.jpeg,100-150 ng,100-150,100,150,ng,False,Level 3,Level 3,Level 2,Level 3
252016.5,7926.029770731926,1130.81591796875,333.7526550292969,0.05041124709532127,1304,407,65.95382597598407,72.54920857358249,3.388185534792185,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154332_66.jpeg,100-150 ng,100-150,100,150,ng,False,NG,NG,NG,NG
368562.0,11281.531420469284,1716.7374267578125,597.908203125,0.03639018851238564,1376,662,321.34498113874184,353.47947925261604,2.87123912631603,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154336_70.jpeg,100-150 ng,100-150,100,150,ng,False,Level 4,Level 4,Level 4,Level 4
515054.5,14869.778236150742,1324.854248046875,791.676025390625,0.029272112575997798,1384,1046,434.77214449954334,478.2493589494977,1.6734803196713854,/tmp/potato_inspection_system/data/test/1021/100-150 ng/Pic_2025_10_21_154333_67.jpeg,100-150 ng,100-150,100,150,ng,False,Level 2,Level 2,Level 2,Level 2
