epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1844,2.19191,3.82592,2.70413,0.18139,0.204,0.2124,0.11963,1.93055,3.53545,2.99344,4.165e-05,4.165e-05,4.165e-05
2,58.2193,2.0506,3.07209,2.5885,0.31806,0.15721,0.18754,0.11339,1.91104,2.62946,2.93564,9.07229e-05,9.07229e-05,9.07229e-05
3,82.0433,1.82931,2.41127,2.28416,0.82718,0.1771,0.19014,0.14052,1.77575,2.723,2.30845,0.000138806,0.000138806,0.000138806
4,105.712,1.80501,2.28043,2.07423,0.85404,0.17407,0.24338,0.18851,1.74723,2.61812,1.95561,0.0001859,0.0001859,0.0001859
5,128.342,1.75305,2.12365,1.88104,0.52819,0.30143,0.21232,0.15487,1.51395,2.08795,1.72784,0.000232004,0.000232004,0.000232004
6,149.735,1.78466,2.00685,1.79086,0.69475,0.19259,0.21071,0.15242,1.61577,2.23606,1.65649,0.000277118,0.000277118,0.000277118
7,171.248,1.62435,1.81176,1.71107,0.67248,0.21852,0.20507,0.15769,1.5127,2.42524,1.61043,0.000321243,0.000321243,0.000321243
8,192.711,1.5694,1.72202,1.74168,0.33437,0.45185,0.20573,0.16229,1.49493,2.09515,1.6024,0.000364378,0.000364378,0.000364378
9,214.788,1.53491,1.6561,1.72504,0.49393,0.39259,0.20921,0.1619,1.43724,2.11281,1.71146,0.000406524,0.000406524,0.000406524
10,235.761,1.44603,1.47201,1.73586,0.67623,0.29259,0.21107,0.16629,1.25541,2.00436,1.70229,0.00044768,0.00044768,0.00044768
11,256.084,1.42476,1.46619,1.71693,0.52354,0.34364,0.24055,0.18267,1.2782,1.70157,1.64229,0.000487846,0.000487846,0.000487846
12,277.166,1.43498,1.45328,1.69178,0.33572,0.46528,0.25322,0.18931,1.26216,1.6572,1.62709,0.000527023,0.000527023,0.000527023
13,298.358,1.3803,1.3496,1.62125,0.39491,0.43194,0.25891,0.18088,1.27833,1.76855,1.6857,0.00056521,0.00056521,0.00056521
14,318.938,1.34297,1.29718,1.62725,0.39555,0.43241,0.24694,0.18132,1.23307,1.61226,1.62639,0.000602408,0.000602408,0.000602408
15,340.034,1.33473,1.30287,1.62942,0.25149,0.53909,0.25092,0.18746,1.22027,1.53281,1.64165,0.000638616,0.000638616,0.000638616
16,361.159,1.29518,1.22355,1.5653,0.30887,0.45854,0.27964,0.18508,1.23745,1.54203,1.64617,0.000673835,0.000673835,0.000673835
17,382.476,1.30708,1.27395,1.60474,0.36155,0.45091,0.28367,0.19405,1.20012,1.39001,1.61168,0.000701053,0.000701053,0.000701053
18,404.173,1.28619,1.21838,1.62061,0.41198,0.43818,0.31789,0.22115,1.1635,1.43809,1.68987,0.000692806,0.000692806,0.000692806
19,425.607,1.22673,1.2295,1.62163,0.43007,0.4271,0.32809,0.22681,1.15622,1.39703,1.66283,0.000684559,0.000684559,0.000684559
20,447.599,1.27517,1.17598,1.57141,0.32513,0.56303,0.32835,0.21814,1.23526,1.30379,1.6118,0.000676313,0.000676313,0.000676313
21,469.03,1.26273,1.16319,1.57593,0.32425,0.51629,0.32772,0.22627,1.18309,1.38809,1.64628,0.000668066,0.000668066,0.000668066
22,490.248,1.22438,1.17575,1.57204,0.50015,0.50412,0.35241,0.23176,1.17352,1.40778,1.58821,0.000659819,0.000659819,0.000659819
23,511.293,1.18603,1.13374,1.56902,0.53939,0.48716,0.36111,0.23809,1.18875,1.35162,1.59119,0.000651573,0.000651573,0.000651573
24,532.556,1.22849,1.09618,1.51693,0.645,0.46094,0.39727,0.25335,1.19467,1.28278,1.6176,0.000643326,0.000643326,0.000643326
25,553.851,1.20005,1.11877,1.59399,0.47265,0.42787,0.41382,0.25803,1.17344,1.31008,1.59009,0.000635079,0.000635079,0.000635079
26,575.748,1.17451,1.11765,1.56601,0.44681,0.4848,0.43596,0.27727,1.19363,1.23792,1.58969,0.000626832,0.000626832,0.000626832
27,596.966,1.18008,1.08053,1.59303,0.46522,0.59065,0.43405,0.26974,1.22063,1.29621,1.63594,0.000618586,0.000618586,0.000618586
28,618.262,1.18816,1.10054,1.56117,0.37038,0.60146,0.39868,0.26637,1.2015,1.25971,1.58866,0.000610339,0.000610339,0.000610339
29,640.185,1.172,1.05542,1.56698,0.35697,0.60588,0.39288,0.26766,1.19223,1.23376,1.56997,0.000602092,0.000602092,0.000602092
30,661.507,1.13341,1.06704,1.58014,0.44606,0.53108,0.40336,0.27808,1.13115,1.24383,1.59371,0.000593846,0.000593846,0.000593846
31,683.062,1.1434,1.06291,1.58626,0.39997,0.5287,0.40716,0.26889,1.16463,1.18799,1.59165,0.000585599,0.000585599,0.000585599
32,704.192,1.12369,1.00844,1.52418,0.36682,0.47303,0.40534,0.26098,1.10355,1.17702,1.57693,0.000577352,0.000577352,0.000577352
33,725.869,1.09583,1.03576,1.53925,0.51562,0.49395,0.40355,0.26243,1.10021,1.2188,1.59964,0.000569106,0.000569106,0.000569106
34,747.098,1.0934,1.01054,1.49056,0.34453,0.45067,0.37271,0.2521,1.12995,1.23968,1.60662,0.000560859,0.000560859,0.000560859
35,767.878,1.1084,1.01168,1.5292,0.38027,0.44952,0.3722,0.25099,1.12512,1.20884,1.59785,0.000552612,0.000552612,0.000552612
36,789.216,1.11364,0.99549,1.49239,0.56311,0.44618,0.38377,0.25533,1.10445,1.22568,1.59586,0.000544365,0.000544365,0.000544365
37,809.73,1.07128,0.99022,1.55038,0.38476,0.44775,0.37717,0.25288,1.10479,1.21591,1.57826,0.000536119,0.000536119,0.000536119
38,830.507,1.08847,0.99361,1.50723,0.40559,0.47048,0.39277,0.25477,1.15217,1.13419,1.55925,0.000527872,0.000527872,0.000527872
39,850.936,1.10901,0.99384,1.53078,0.35694,0.45427,0.3979,0.26881,1.12368,1.17379,1.58516,0.000519625,0.000519625,0.000519625
40,872.928,1.09382,0.96442,1.51854,0.56509,0.451,0.40432,0.27544,1.10048,1.22357,1.59731,0.000511379,0.000511379,0.000511379
41,894.157,1.06812,0.97925,1.52941,0.40512,0.49038,0.41234,0.27771,1.10589,1.21474,1.5818,0.000503132,0.000503132,0.000503132
42,915.003,1.08221,0.94085,1.51499,0.35574,0.49674,0.40256,0.27495,1.11128,1.17315,1.58432,0.000494885,0.000494885,0.000494885
43,935.885,1.06272,0.95616,1.51026,0.53349,0.48058,0.39103,0.27351,1.11488,1.19174,1.596,0.000486639,0.000486639,0.000486639
44,956.318,1.04176,0.94577,1.50504,0.4347,0.54788,0.41138,0.28005,1.12753,1.17105,1.59664,0.000478392,0.000478392,0.000478392
45,976.579,1.0565,0.94198,1.49409,0.45219,0.51569,0.41484,0.28562,1.1177,1.10277,1.56826,0.000470145,0.000470145,0.000470145
46,996.75,1.06888,0.95575,1.52093,0.40941,0.54142,0.43039,0.29668,1.1005,1.08016,1.57489,0.000461898,0.000461898,0.000461898
47,1017.08,1.0281,0.92441,1.48406,0.39931,0.54108,0.42669,0.28804,1.10908,1.07803,1.59058,0.000453652,0.000453652,0.000453652
48,1037.71,1.02043,0.90673,1.47973,0.4026,0.55955,0.41426,0.28714,1.11705,1.10049,1.58494,0.000445405,0.000445405,0.000445405
49,1058.18,1.03409,0.92707,1.49726,0.41406,0.57898,0.43928,0.30138,1.08815,1.07356,1.58084,0.000437158,0.000437158,0.000437158
50,1078.92,1.03185,0.90649,1.51582,0.41207,0.51472,0.45029,0.31444,1.06436,1.10076,1.56133,0.000428912,0.000428912,0.000428912
51,1099.56,1.02336,0.90675,1.52434,0.40274,0.5764,0.45057,0.31784,1.08861,1.12138,1.57164,0.000420665,0.000420665,0.000420665
52,1120.05,1.03138,0.89768,1.52736,0.37812,0.48037,0.43117,0.29829,1.10417,1.09406,1.55938,0.000412418,0.000412418,0.000412418
53,1140.27,1.02759,0.91568,1.48954,0.48243,0.40306,0.43322,0.2954,1.08482,1.10152,1.55429,0.000404172,0.000404172,0.000404172
54,1160.54,1.01453,0.89317,1.5,0.45008,0.42817,0.4318,0.28995,1.07668,1.11972,1.56432,0.000395925,0.000395925,0.000395925
55,1180.86,1.00743,0.85749,1.48521,0.41798,0.43428,0.42329,0.28741,1.09833,1.11251,1.56619,0.000387678,0.000387678,0.000387678
56,1201.14,0.99242,0.85011,1.52451,0.43796,0.42317,0.42214,0.28956,1.13269,1.13462,1.59366,0.000379431,0.000379431,0.000379431
57,1221.37,0.98758,0.84092,1.51715,0.44066,0.42688,0.44232,0.30129,1.11976,1.11437,1.58804,0.000371185,0.000371185,0.000371185
58,1242.1,1.0183,0.90058,1.54623,0.40923,0.49109,0.46337,0.30397,1.12361,1.07543,1.57314,0.000362938,0.000362938,0.000362938
59,1262.7,0.99995,0.82598,1.49754,0.4506,0.47492,0.46446,0.30368,1.11086,1.06943,1.57758,0.000354691,0.000354691,0.000354691
60,1283.45,0.98034,0.85978,1.51071,0.41413,0.45199,0.44432,0.3164,1.0895,1.0158,1.58503,0.000346445,0.000346445,0.000346445
61,1303.66,0.98617,0.87652,1.50231,0.41476,0.51011,0.44966,0.32206,1.07489,1.03152,1.57075,0.000338198,0.000338198,0.000338198
62,1324.39,0.96374,0.84029,1.52919,0.38818,0.45858,0.42132,0.30015,1.08683,1.04703,1.55953,0.000329951,0.000329951,0.000329951
